treatment,metric,unit,n,median,q1,q3,iqr,minimum,maximum,censored_trials
com_ia,analysis_time_seconds,segundos,4,47.185000,42.775500,52.268500,9.493000,41.535000,55.531000,0
com_ia,success_rate_percent,percentual,4,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,0
com_ia,tests_failed,testes,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
com_ia,tests_passed,testes,4,11.000000,10.750000,11.250000,0.500000,10.000000,12.000000,0
sem_ia,analysis_time_seconds,segundos,4,1683.500000,1614.753750,1769.103750,154.350000,1530.015000,1904.415000,0
sem_ia,success_rate_percent,percentual,4,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,0
sem_ia,tests_failed,testes,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
sem_ia,tests_passed,testes,4,11.000000,10.750000,11.250000,0.500000,10.000000,12.000000,0
